customer_id,first_name,last_name,email,phone,date_of_birth,age,gender,province,city,postal_code,customer_since,credit_score,has_auto_policy,has_home_policy,premium_tier
CUS000034,Melissa,Rodriguez,karmstrong@example.com,1-406-409-0974,1986-08-18,39,F,QC,Jefferyborough,G5E8B1,2019-09-02,759,True,True,Silver
CUS000035,Jessica,Davis,mark62@example.org,685 884 2474,1946-10-29,79,F,BC,Mccartyberg,R2Y 7P1,2014-12-20,718,False,True,Silver
CUS000036,David,Richardson,brenda51@example.net,(570) 985-9317,1952-09-02,73,F,AB,East Brandonton,V4E9E3,2016-10-26,635,True,True,Bronze
CUS000037,Nathan,Avery,umatthews@example.org,+1 (817) 964-0537,1958-12-21,67,F,AB,Corystad,B4R2L8,2012-05-22,701,True,False,Silver
CUS000038,Jason,Fowler,williamsmatthew@example.org,(118) 393-3529,1965-04-20,60,F,AB,East Amber,E1A 6G4,2019-10-22,769,True,True,Bronze
CUS000039,Alfred,Baker,judyfox@example.net,177.589.1783,1972-10-01,53,M,ON,Stephentown,V2R 8S8,2012-02-13,556,True,True,Bronze
CUS000040,Christopher,Franklin,martinezclaudia@example.net,(456) 984-7896 x118,1957-06-14,68,M,ON,South Matthew,R6S7E6,2020-12-11,728,True,False,Bronze
CUS000041,Nicholas,Hernandez,fjones@example.org,+1 (215) 280-9885,1970-06-07,55,M,ON,Parrishton,M9P4E3,2020-10-26,850,True,False,Platinum
CUS000042,Jeffrey,Rodriguez,danny49@example.org,+1 (589) 980-9402,1976-09-22,49,F,ON,Sandrastad,H2G 3R1,2012-05-22,847,True,True,Bronze
CUS000043,Alyssa,Bennett,xpeterson@example.com,1 (599) 102-2901,2004-06-19,21,F,NB,Tuckermouth,L2J6X7,2012-09-04,638,True,True,Bronze
CUS000044,Erika,Watkins,brandon69@example.org,834-324-4510,1974-10-08,51,F,BC,East Omar,X2Y 7P1,2017-07-12,832,True,False,Silver
CUS000045,Steve,Miller,barbara96@example.net,+1 (241) 605-2975,1973-06-17,52,M,BC,East Ryanfurt,R4M 6N3,2012-02-29,641,False,True,Bronze
CUS000046,Cynthia,Schmidt,rebeccabailey@example.net,331 243 2921,2001-12-22,24,F,ON,Marshallshire,N8N2G8,2017-08-14,597,True,False,Bronze
CUS000047,Kevin,Hill,bellcharles@example.com,900-541-1998 x679,1977-12-23,48,M,QC,South Reginashire,N3V 1X8,2012-07-25,540,True,False,Bronze
CUS000048,Rachel,Cooper,wagnergerald@example.org,178-892-5546 x659,1982-10-24,43,F,BC,Cameronville,M6L2G3,2024-09-12,595,False,False,Bronze
CUS000049,Kyle,Douglas,tanderson@example.org,1-186-528-1685,1999-05-21,26,M,BC,East Matthew,J3K2G5,2023-08-15,751,True,True,Silver
CUS000050,Craig,Wise,stanleynancy@example.net,796 222 9270,1978-05-21,47,F,QC,South Cheryl,K5Y8K4,2016-07-05,710,True,False,Gold
CUS000051,Stacey,Joyce,xhammond@example.com,(986) 239-2407 x581,1991-11-15,34,M,ON,Christopherburgh,T7X2G4,2023-03-17,661,True,False,Bronze
CUS000052,Nicole,Arias,gbrown@example.com,(361) 530-5152,1958-01-22,67,M,ON,Hortonberg,T1A5C4,2023-06-24,716,True,False,Gold
CUS000053,Ana,Acosta,srodriguez@example.org,1-910-369-7117,1963-01-14,62,M,AB,Lake Douglas,A7P3K2,2018-10-31,744,False,False,Silver
CUS000054,Michael,Ashley,myerstheodore@example.net,+1 (654) 051-5319,1983-02-26,42,M,AB,Amyburgh,V2H8G1,2015-05-26,643,False,False,Silver
CUS000055,Bradley,Gonzalez,stewartkyle@example.com,(774) 034-5054 x156,1962-10-07,63,M,AB,Morganburgh,V5P2X7,2012-03-14,700,False,True,Gold
CUS000056,Carrie,Short,manuel15@example.net,1-647-962-7570,1982-08-21,43,F,ON,Hillton,R3P 1X3,2023-09-07,774,True,True,Platinum
CUS000057,Erika,Kim,carlososborne@example.com,1 (269) 092-7557,1945-08-06,80,F,QC,Raymondview,E8A 9H7,2024-08-25,556,True,False,Gold
CUS000058,David,Hampton,nlewis@example.com,931-217-2715 x518,1960-04-24,65,M,AB,Melissaburgh,X4K3E4,2022-10-24,664,True,True,Silver
CUS000059,Anthony,Spencer,tanner82@example.net,314.678.6691,1979-12-29,46,M,MB,South Stevenhaven,G3Y7H9,2024-08-10,749,True,True,Silver
CUS000060,Brian,Martinez,kevinmartin@example.net,(558) 414-3842,1999-08-21,26,F,AB,New Danielleshire,H1N 2B1,2025-03-04,808,True,True,Platinum
CUS000061,Kelli,Baker,katiebutler@example.net,278-447-3647,1982-09-17,43,F,ON,South Robert,J6N6G6,2025-07-28,646,True,False,Silver
CUS000062,David,Wood,floressteven@example.com,632-104-6963 x259,1980-03-18,45,M,SK,South Wendy,V1M2V7,2018-07-25,808,True,True,Silver
CUS000063,Tammy,Lewis,brandon47@example.net,148-016-2456 x506,2000-08-04,25,M,ON,West Angela,R9X 5T2,2012-12-10,801,True,False,Silver
CUS000064,Colin,Brooks,angela52@example.org,(968) 000-2578 x729,1987-03-01,38,M,MB,Franciscoport,X8X5Y8,2023-03-12,761,False,True,Platinum
CUS000065,Micheal,Nunez,ysilva@example.net,397-499-3097,2001-07-19,24,F,MB,Hernandezbury,E8J 6A7,2013-04-13,737,True,False,Silver
CUS000066,Hannah,Jenkins,vsalas@example.net,328-385-7865,1979-06-25,46,F,BC,Amyview,J9K5L4,2025-01-25,704,False,True,Bronze
CUS000067,Toni,Wise,hannahburns@example.com,1 (384) 419-8665,1945-04-25,80,M,MB,Stephanieland,T4L4V9,2015-01-25,583,True,False,Silver
CUS000068,Anna,Nelson,gilbertbrenda@example.org,383-301-6571,1972-01-10,53,Other,ON,South Denise,V6J5M1,2024-07-26,762,False,False,Silver
CUS000069,Christopher,Andrews,gentrygregory@example.org,267-240-0499,1986-12-13,39,F,AB,Justinside,G5X4T2,2015-12-15,759,True,False,Gold
CUS000070,Jessica,Wong,alexisrogers@example.com,(329) 668-5161,2002-01-02,24,M,ON,Morrisbury,L8R 5K6,2015-07-12,818,False,False,Bronze
CUS000071,Jennifer,Smith,heather01@example.com,1-426-841-4593,1971-12-24,54,Other,QC,Hernandezstad,Y4V4Y2,2018-11-11,722,True,True,Bronze
CUS000072,Allison,Cox,brownamy@example.net,(898) 225-8713,2000-02-11,25,F,MB,Stokesmouth,X1S 9T8,2021-01-21,722,False,False,Silver
CUS000073,Kyle,Johnson,lisa39@example.org,765-180-1704,1961-03-15,64,F,NS,Port Darlene,P7R7T2,2021-03-17,674,True,False,Silver
CUS000074,Dorothy,Ryan,david86@example.net,430 047 8686,1990-04-09,35,F,BC,Ericborough,B4S 4A2,2012-07-11,572,True,True,Silver
CUS000075,Arthur,Harper,sanchezbradley@example.com,(683) 028-4395,1975-04-05,50,F,AB,Lake Adriana,M9L3B7,2019-04-25,713,True,False,Silver
CUS000076,Brandon,Cooper,ufloyd@example.net,+1 (562) 462-8733,1995-11-18,30,F,ON,Port Steven,Y9S 9S3,2016-10-25,792,True,False,Bronze
CUS000077,Jonathan,Rivera,nielsenmelanie@example.org,(830) 469-9013 x983,1995-03-26,30,M,ON,Kevintown,J4E 4V7,2024-09-03,561,True,False,Bronze
CUS000078,Andrea,Rowe,powens@example.com,1-645-877-1753,1976-05-02,49,M,AB,New Michelleberg,L5Y 3S4,2015-12-11,815,True,False,Gold
CUS000079,Noah,Whitaker,rpierce@example.com,1-377-725-2287,1994-12-09,31,F,SK,New Arthurland,A4S 2G3,2011-02-27,677,False,False,Bronze
CUS000080,William,Brooks,bhopkins@example.org,(286) 008-4840 x862,1969-12-10,56,M,ON,East James,P2L6R7,2017-11-14,566,True,True,Bronze
CUS000081,John,Terry,gabriella10@example.org,+1 (766) 870-0217,1995-09-01,30,M,BC,Arielville,K5J 1V2,2021-03-26,759,True,False,Bronze
CUS000082,Juan,Daniels,whitemelissa@example.org,(792) 614-2939,1992-09-12,33,M,ON,Patrickberg,X2P 7B4,2023-07-14,676,True,True,Bronze
CUS000083,Matthew,Mack,unovak@example.org,1-777-358-6629,1996-02-09,29,M,QC,Laurenland,L3G 7R6,2016-05-27,704,True,True,Gold
CUS000084,Christopher,Hahn,rward@example.org,112 678 8861,1969-02-10,56,F,ON,New Carlymouth,A7M2S9,2024-07-11,517,False,True,Bronze
CUS000085,Tiffany,Armstrong,ginajackson@example.com,1-847-212-6464,1958-10-21,67,M,AB,Johnathanbury,J3T5E1,2025-03-06,656,True,False,Silver
CUS000086,Martin,Oliver,scott69@example.org,1-859-375-2654,1978-12-28,47,M,AB,West Nicholas,P9E3J9,2011-06-04,601,True,False,Gold
CUS000087,Jessica,Hahn,samuelcarter@example.net,267.243.4266,1976-06-21,49,M,QC,Aguilarside,Y9B2P2,2022-06-30,821,True,True,Silver
CUS000088,Diane,Kelly,hartdeanna@example.net,+1 (956) 101-4388,2005-08-08,20,M,ON,South Neil,X1G8P2,2015-06-06,503,True,True,Gold
CUS000089,Samantha,Miller,michaelcooper@example.org,(675) 717-7514 x010,1971-09-02,54,F,BC,Lake John,Y9H 7N8,2014-06-25,630,True,False,Silver
CUS000090,Richard,Lopez,vfoster@example.net,(279) 660-3341,1980-10-27,45,M,ON,West Mark,E9L6V7,2020-02-22,699,True,False,Silver
CUS000091,Brenda,Bailey,rwilliamson@example.net,1-399-125-1341,1983-05-25,42,F,NL,New Paul,R8S 9H3,2019-04-20,671,True,True,Bronze
CUS000092,Tracy,Taylor,megan90@example.com,772-368-8767,1992-09-24,33,M,ON,Burnsland,K5M 4B9,2015-04-30,680,False,True,Silver
CUS000093,Kimberly,Cunningham,hdunn@example.net,248.580.7836,1981-10-04,44,M,NL,West Nancy,T2L 8P2,2022-08-05,731,False,False,Bronze
CUS000094,Joel,Cochran,michelle96@example.org,333 095 8498,1993-05-07,32,F,BC,Keithview,G5S 3B3,2014-09-30,693,True,False,Bronze
CUS000095,Jennifer,Poole,kburns@example.net,1-866-711-6845,1961-12-21,64,M,ON,Brandiland,P7C4Y7,2023-04-30,722,True,True,Silver
CUS000096,Troy,Morris,matthew92@example.net,450-017-0127 x706,1988-01-07,38,M,QC,Lake Kevin,C2P6L3,2011-10-18,480,True,False,Bronze
CUS000097,Connie,Barber,rubendavis@example.org,137-129-3870,1984-09-19,41,M,ON,Port Robertberg,C2K2R2,2015-09-12,651,True,False,Silver
CUS000098,Nicole,Taylor,darlenebyrd@example.org,(290) 927-5326 x973,1978-12-02,47,M,QC,Port David,P3S4N5,2020-08-21,760,False,False,Platinum
CUS000099,John,Burke,kimberly04@example.org,(298) 364-0376 x137,1996-07-20,29,F,BC,West Sarahberg,S3P8Y2,2011-04-09,739,False,True,Gold
CUS000100,Carlos,Baker,livingstonstacy@example.com,(548) 666-1889 x241,1991-02-06,34,M,ON,Port Eric,R7C4M1,2014-09-02,826,False,False,Silver
CUS000101,Sandy,Wilson,parkerjudith@example.net,510 202 7588,1983-03-10,42,M,MB,Lake Kimberly,E7A5N9,2011-12-23,679,True,False,Bronze
CUS000102,Jennifer,Ray,crawfordwilliam@example.org,192-524-1913 x800,1962-04-08,63,M,QC,Coxberg,B4Y 6S4,2017-03-26,804,False,True,Silver
CUS000103,Jennifer,Nelson,duncandavid@example.net,623-806-1744,1949-02-09,76,M,BC,Smithborough,M6K8T4,2021-12-13,713,True,True,Gold
CUS000104,Amy,Flynn,adamortiz@example.org,(150) 506-4138 x367,1970-12-29,55,F,QC,Lake Joshua,K6X 8S2,2019-09-08,745,False,True,Bronze
CUS000105,William,Walsh,kjones@example.org,+1 (523) 445-6557,1989-04-04,36,M,AB,East Kimberly,G8E 8H6,2017-02-01,820,False,True,Gold
CUS000106,Amanda,Oconnell,shannonford@example.org,624.903.5213,1997-06-02,28,M,AB,Lake Kentburgh,R9T 4Y2,2017-11-30,732,True,False,Bronze
CUS000107,Linda,Taylor,brownkimberly@example.org,236 519 9410,1990-03-22,35,F,BC,Lambland,E1B3T7,2023-04-13,810,True,True,Bronze
CUS000108,Randall,Johnson,nthompson@example.org,1-847-209-9934,1992-06-07,33,F,SK,Brownview,G9S4J9,2022-11-18,780,True,False,Gold
CUS000109,Veronica,Casey,timothy75@example.net,(956) 420-5930 x407,1994-05-19,31,F,QC,East Craig,L4Y 7B6,2024-12-21,683,False,False,Silver
CUS000110,Victoria,Thompson,brittanydrake@example.net,1 (990) 599-2937,1965-05-01,60,F,SK,Johnsonton,K8A 1X6,2024-09-18,703,True,False,Silver
CUS000111,James,Anderson,samantharichard@example.com,702-921-8515,1980-08-10,45,F,BC,Kevinberg,S3V 9N6,2014-05-09,692,True,False,Gold
CUS000112,Brianna,Thompson,jessica42@example.org,296-902-9593,1996-12-16,29,F,SK,West Julie,P2N 6H8,2011-03-12,762,True,False,Silver
CUS000113,Jason,Steele,jonathan10@example.org,+1 (276) 267-6586,2000-11-07,25,F,ON,East Shannon,M5A 2N2,2016-02-14,768,False,True,Bronze
CUS000114,Pamela,Martin,paynerachael@example.org,1 (199) 706-2962,1963-02-14,62,M,QC,East Robert,M2M1K7,2019-07-21,514,True,True,Bronze
CUS000115,Mary,Hernandez,adam14@example.net,831-032-4171 x467,1976-12-01,49,F,QC,Christopherside,H6P3R8,2011-09-09,786,True,True,Silver
CUS000116,Scott,Baker,anne21@example.org,1 (986) 938-0686,1993-09-16,32,M,NB,Armstrongbury,M1C9R9,2022-12-18,552,True,True,Platinum
CUS000117,Erica,Oliver,averyshane@example.org,(532) 061-6329,1976-05-05,49,M,QC,North Paulfurt,L1X9T7,2012-09-13,637,False,True,Bronze
CUS000118,Edward,Knight,buckleyanna@example.org,1-185-646-7997,2002-03-12,23,F,QC,Thomasfurt,R1N 8K5,2024-05-27,753,True,False,Silver
CUS000119,Andrew,Roth,larry71@example.org,447 546 9137,1975-12-08,50,M,QC,Figueroahaven,B2X5H9,2017-01-15,605,True,False,Gold
CUS000120,Kimberly,Warren,thompsonnancy@example.org,930-705-3457,1983-06-02,42,F,ON,Lake Anthonystad,T9H6V6,2013-06-17,716,True,True,Bronze
CUS000121,Patricia,Curry,mitchellpaul@example.org,(333) 346-8007,1964-09-01,61,M,BC,East Johnnyport,S8R5P4,2017-12-26,643,True,True,Bronze
CUS000122,Erica,Holloway,asilva@example.net,1 (589) 944-1715,1959-08-30,66,F,ON,Joseport,G1X 7K6,2021-03-06,641,True,True,Bronze
CUS000123,Jennifer,Rios,jordan66@example.com,599-353-8758,1964-11-13,61,F,AB,West Connor,L6Y 2H4,2016-04-27,831,True,True,Gold
CUS000124,Julie,Parker,nathan94@example.com,270.999.1738,2006-11-21,19,M,ON,Morenochester,G6G 7J8,2013-02-27,619,True,True,Silver
CUS000125,Michelle,White,freemancrystal@example.org,1 (200) 743-2927,1980-02-25,45,F,MB,Schultzfurt,V1R9A4,2021-12-03,600,True,False,Bronze
CUS000126,Stephanie,Mcclain,andrewsmith@example.net,(335) 421-6894,1969-02-01,56,F,QC,West Stacymouth,S8G6N4,2013-06-25,634,True,True,Gold
CUS000127,Rebecca,Burnett,perezjessica@example.org,(909) 821-5064,1962-08-24,63,F,ON,Lake Danieltown,E7S 2T9,2014-10-17,777,False,True,Bronze
CUS000128,Jacqueline,Harris,turnerdorothy@example.net,(849) 926-1891 x411,1988-03-21,37,F,QC,Port Jose,P3S 1M9,2018-06-05,697,True,True,Gold
CUS000129,Jared,Fitzpatrick,jimmy01@example.org,221-811-4374 x470,1942-11-01,83,M,QC,Port Kellymouth,E1E3B3,2015-12-04,569,True,False,Gold
CUS000130,Patricia,Friedman,natalie15@example.com,216 674 6762,1991-02-26,34,M,ON,Port Erikchester,T6H1R3,2018-03-25,744,False,False,Silver
CUS000131,Tony,Clay,qwilliams@example.net,1 (208) 993-5889,1971-06-15,54,M,BC,South Michael,G1Y3B9,2023-09-08,687,True,False,Bronze
CUS000132,Melissa,Booth,waltonmalik@example.com,1-808-386-6317,1993-10-28,32,M,BC,Millerfort,N1E2V7,2017-03-04,764,True,True,Silver
CUS000133,Angela,Smith,connersylvia@example.net,1-688-375-5037,1987-08-01,38,F,ON,Moranstad,E1E6K6,2023-05-28,745,True,False,Gold
CUS000134,Tamara,Carter,jacqueline02@example.com,861 493 3163,1963-11-05,62,M,ON,Lake Matthew,B8E9T3,2025-05-27,559,True,False,Bronze
CUS000135,Adam,Fitzgerald,eroberson@example.net,792 216 9958,1977-06-10,48,M,QC,West Raymond,M3T7G9,2015-06-25,671,True,False,Silver
CUS000136,Jacqueline,Valencia,jamesweber@example.com,1 (722) 885-1587,1966-09-12,59,M,QC,Nataliechester,X7E 3A1,2021-01-08,719,False,False,Silver
CUS000137,James,Christensen,tonyavega@example.org,443-805-7198,1987-10-06,38,M,QC,Youngport,R6R 9S1,2011-03-20,594,True,False,Silver
CUS000138,John,Oliver,ogreer@example.net,1 (398) 933-4721,1958-12-26,67,F,BC,South Billyview,G1H6L8,2021-08-11,681,False,True,Silver
CUS000139,Eric,Hernandez,candice94@example.com,(951) 583-2818 x268,1990-06-05,35,F,NL,Jeffreyborough,N4P9M8,2025-11-21,765,True,False,Bronze
CUS000140,Madison,Zavala,wilsonmichael@example.org,(905) 616-4840,1947-11-05,78,F,NB,Williehaven,V4B6M9,2012-04-01,710,True,False,Gold
CUS000141,Cody,Bonilla,simsjason@example.net,(661) 386-1207,1985-01-22,40,M,AB,North Gregoryview,K7L 8S7,2017-06-25,587,True,True,Silver
CUS000142,Andre,Nunez,maychristine@example.net,815-814-4914,1984-05-27,41,M,BC,South Ericbury,R3Y 5M6,2025-04-21,740,True,False,Gold
CUS000143,Alex,Baxter,davidsmith@example.net,+1 (388) 143-5368,1985-03-08,40,F,BC,New Mary,E9H 8B9,2012-02-11,592,True,False,Bronze
CUS000144,Emily,King,jessicafreeman@example.com,1 (823) 149-1357,1952-05-08,73,F,QC,Heatherberg,N1S6H4,2022-09-29,746,False,False,Silver
CUS000145,Jennifer,Davidson,mary25@example.com,475-478-1291 x428,1961-04-15,64,M,QC,Lake Charlestown,R9J 5B9,2024-05-11,773,False,False,Silver
CUS000146,Amber,Valdez,michaelwalker@example.net,1-427-881-6580,1980-11-14,45,M,BC,Port Willie,H8H6G1,2014-04-15,725,True,True,Bronze
CUS000147,Tony,Brown,jim38@example.com,+1 (977) 005-1844,1986-08-05,39,M,ON,Valdezstad,X4L 9R7,2016-04-14,545,True,True,Gold
CUS000148,Mindy,Tucker,aeaton@example.net,372 318 4322,1960-05-20,65,M,ON,Lake Jerrymouth,V4V 3V7,2011-05-11,603,False,False,Silver
CUS000149,Bradley,Berry,dennishunt@example.net,502 428 6990,1970-12-20,55,Other,ON,South Catherine,V7H3K3,2020-04-26,793,True,True,Bronze
CUS000150,William,Jackson,sandra99@example.org,(366) 210-3886,1990-08-18,35,F,ON,South Rachel,Y2X 8E3,2024-06-23,829,True,True,Platinum
CUS000151,Amber,Smith,xboyd@example.org,(463) 765-9916 x247,1951-12-07,74,Other,SK,West Carmenside,L1J9A2,2018-10-11,670,False,False,Bronze
CUS000152,Nicholas,Harris,robert12@example.com,1-748-695-9463,1957-07-29,68,M,ON,Whiteside,L7M3P2,2022-03-06,606,True,False,Silver
CUS000153,Sean,Lyons,craigromero@example.com,(590) 260-1279 x611,1998-03-30,27,M,MB,New Benjaminfurt,X3M8B8,2011-03-08,743,True,True,Silver
CUS000154,Melissa,Galvan,james98@example.net,(792) 053-0214,1983-05-17,42,F,ON,Sullivanborough,C5C 9Y6,2016-03-16,786,True,True,Bronze
CUS000155,Lisa,Perez,shawnpowell@example.org,1-226-818-1845,1966-10-29,59,F,ON,Nancyshire,T4R6V8,2021-03-11,421,True,False,Bronze
CUS000156,Peggy,Atkins,ewilson@example.com,(535) 658-8043,1966-02-11,59,M,QC,Charlesburgh,N5P3J4,2018-06-20,630,False,False,Silver
CUS000157,James,Moss,jamie33@example.net,1 (821) 117-9080,1954-05-24,71,F,MB,Travisshire,V5H7X4,2022-03-19,740,True,False,Gold
CUS000158,David,Fox,imendoza@example.org,(256) 271-8750 x036,1994-05-07,31,F,MB,Jacobview,L6V 3N8,2017-05-07,768,True,False,Bronze
CUS000159,Robert,Goodwin,melissa47@example.org,393 143 8663,1984-10-27,41,M,AB,South Linda,S9V 9G6,2022-09-27,733,True,True,Bronze
CUS000160,Kevin,Hart,rosshannah@example.org,(947) 175-4558,1970-12-15,55,F,NL,Mauricechester,P3J 5Y6,2015-11-15,732,True,False,Silver
CUS000161,William,Hampton,ypreston@example.net,1-272-256-9961,1961-03-09,64,F,ON,West Logan,L8R6L9,2025-06-05,743,True,False,Gold
CUS000162,Robert,White,martinezjimmy@example.com,132.611.1780,1997-10-17,28,F,NS,North Joseberg,R4M 5K8,2020-05-14,703,True,True,Silver
CUS000163,David,Roberson,johnsonmichael@example.com,778-487-2829 x979,1999-07-19,26,M,QC,Reginafort,C6T 7M5,2013-05-06,661,False,False,Platinum
CUS000164,Alex,Mills,mauriceharrison@example.org,974-064-9308 x536,1962-06-17,63,F,ON,East Jennifer,R2K7L4,2018-09-24,710,True,True,Bronze
CUS000165,Lauren,Austin,justin84@example.com,(812) 241-7974,1977-03-18,48,F,AB,East Brandonside,H5E 3M8,2021-11-14,563,False,True,Silver
CUS000166,Jesse,Hernandez,arobinson@example.com,357-051-2046 x187,1993-03-20,32,F,AB,Lisatown,K4R 1T4,2017-11-24,667,True,True,Silver
CUS000167,Kelli,Boyd,thomasmaldonado@example.com,1 (620) 881-4743,1968-11-28,57,F,ON,North Joel,N5A2H7,2022-10-18,682,False,True,Silver
CUS000168,Albert,Williams,jbarker@example.com,332.719.5005,1981-09-21,44,Other,ON,East Tonymouth,T7J6A3,2014-10-06,608,True,False,Bronze
CUS000169,Benjamin,Mann,amy73@example.net,985 574 9821,1990-03-06,35,F,ON,Loriside,T7A3X1,2020-04-07,776,True,False,Bronze
CUS000170,Michael,Oliver,jennifer86@example.org,(178) 294-5651 x181,1953-11-09,72,F,AB,East Morgan,E2V 1J7,2020-11-02,672,False,False,Silver
CUS000171,Alicia,Miles,brandon39@example.net,603.717.0586,1995-10-25,30,F,ON,Port Christinahaven,C4M 9C2,2012-07-13,799,True,True,Bronze
CUS000172,Jerry,Cruz,aliciawright@example.net,388 619 5761,1966-10-25,59,M,QC,Wagnerburgh,P6N6Y7,2022-06-04,739,True,True,Silver
CUS000173,Ryan,Swanson,annalewis@example.net,1-957-760-0490,1988-02-27,37,M,AB,Adambury,N9A 9L9,2019-07-15,677,True,True,Silver
